"b_RE[1]","b_RE[2]","b_RE[3]","b_HIV","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]"
1.5224,2.0621,2.9558,2.1041,-0.7931,-0.2696,-0.2723,1.2777,0.0083,0.2331
1.0617,2.0788,2.9439,1.4705,0.14,-0.2515,-0.396,1.245,-0.183,0.5286
1.4333,2.418,4.0154,1.4891,-0.3237,-0.3231,-0.1311,0.971,0.0351,0.1928
0.7343,1.4164,3.2063,1.083,-0.2226,-0.9331,-0.3078,0.6898,0.5462,0.5461
1.6393,1.7526,2.9032,2.202,-0.211,-0.9018,-0.1831,1.2366,-0.0023,0.2969
1.1576,1.4128,2.2703,1.8191,-0.8209,-0.5914,-0.2044,1.0645,0.1056,0.6949
0.8769,1.9674,3.3423,1.8015,-0.5931,-0.3587,0.0944,1.219,-0.3061,0.5866
1.8521,1.4703,3.927,1.4883,-0.5834,-0.5284,-0.2097,0.5944,0.2602,0.5275
1.7359,1.7533,3.168,1.6506,-0.3563,-0.5815,-0.6731,1.212,0.2853,0.5393
1.2416,2.8384,3.2574,1.2003,-0.67,-0.4844,-0.2432,0.5823,-0.0501,0.6814
1.5577,1.6527,5.5226,0.9433,-0.1597,-0.5598,0.0901,1.0107,0.2591,0.4798
1.4947,1.8772,2.533,1.7635,-0.5557,-0.2728,-0.0387,0.898,-0.341,0.4305
1.353,1.8077,2.3982,0.92,-0.2289,-0.4555,-0.434,1.319,0.5244,0.7805
1.1364,1.6977,2.7185,1.5212,0.0718,-0.2098,-0.28,0.6938,-0.3026,0.6357
1.376,1.8569,4.6022,1.5969,-0.169,-0.4321,-0.2952,1.0557,0.0526,0.5537
1.79,2.0434,2.9934,1.263,-0.4355,-0.6941,-0.3754,0.9154,0.1267,0.3967
1.2215,2.8882,3.7206,1.491,-0.0233,-0.4141,-0.1902,1.2177,0.2355,0.0968
1.283,1.6452,2.8967,1.7215,-0.0354,-0.4635,-0.005,1.1022,0.3484,0.4621
1.8439,1.7323,3.1728,1.2162,-0.4496,-0.7295,0.396,0.7856,0.2164,0.0195
2.1885,2.4567,4.6221,1.1162,-0.6706,-0.2509,0.0241,0.8938,-0.4405,0.2929
1.8856,1.9163,2.8433,1.5675,-0.4622,-0.665,-0.1921,0.9502,0.2794,0.3812
1.2163,2.1422,3.044,1.4725,-0.068,-0.3973,-0.524,1.6395,-0.0687,0.721
1.2894,2.0723,4.407,1.0687,-0.4581,-0.0224,-0.3732,0.8607,-0.2742,0.5398
1.1232,1.8788,4.246,1.9521,-0.429,-0.8216,-0.1731,1.0038,0.6284,0.5149
1.4538,1.423,4.3357,1.5245,-0.817,-0.907,-0.3344,1.2525,0.1211,0.2232
0.7021,1.6585,3.7199,1.7703,-0.2629,-0.8205,-0.217,0.9189,0.5506,0.4076
1.493,1.7986,3.9349,1.6875,-0.7028,-0.3722,-0.211,0.8932,0.0141,0.3742
1.4508,1.8355,2.3305,1.3265,-0.6119,-0.6998,-0.156,0.8899,0.1485,0.429
1.8754,2.3013,2.7701,1.4148,-0.6157,-0.5207,-0.4519,1.1682,-0.3867,0.2833
1.7731,2.3965,4.6474,1.0913,-0.0598,-0.266,-0.4758,1.1665,-0.0603,0.6581
1.199,2.3093,3.6165,1.6483,-0.5129,-0.3648,-0.5332,0.9262,0.5372,0.5174
1.4939,2.0872,3.8715,0.9649,-0.6624,-0.3696,-0.0183,0.7736,-0.289,0.3388
1.3818,1.8484,2.727,1.7804,-0.3905,-0.8795,-0.3936,0.9765,0.5625,0.4461
1.1784,1.4309,2.6334,1.8287,-0.2754,-0.4842,-0.3253,1.6827,0.1115,0.5063
1.8199,3.7443,3.4862,1.4474,0.136,-0.4344,-0.2869,0.9683,0.8005,0.6034
1.3555,3.2673,6.3349,1.2844,-0.2757,-0.4126,-0.1386,0.6709,0.2999,0.6179
1.6344,1.9417,3.3196,1.7997,-0.5179,-0.3712,-0.2739,1.0054,0.1251,0.2768
1.2643,1.7951,2.4108,1.6926,-0.7363,-0.3702,0.0811,0.9959,-0.0782,0.3535
0.6035,2.0479,1.7726,1.4504,0.0426,-0.6207,-0.3885,1.1657,0.8386,0.3701
1.1028,1.3437,3.2414,1.8381,-0.5453,-0.4396,-0.5182,1.4275,-0.4753,0.4688
1.0553,1.3372,3.2592,2.1534,-0.378,-0.6424,-0.5167,0.981,0.4034,0.4482
1.2616,2.4474,4.2566,1.1129,-0.2806,-0.9437,-0.315,0.7111,0.4255,0.536
1.2694,1.8039,5.2709,1.6915,-0.0537,-0.4863,-0.2792,1.2018,0.2976,0.623
1.8604,1.9791,3.5579,1.451,-0.5666,-0.6419,-0.3163,0.6963,0.261,0.4489
1.3545,1.4219,3.1168,1.5106,-0.4383,0.0372,-0.0848,0.8232,-0.1499,0.6683
1.1634,1.9009,2.791,1.6112,-0.478,-0.4243,-0.1621,1.3139,0.0455,0.2712
1.1186,1.9768,2.7132,1.8557,-0.3888,-0.4756,-0.2412,0.9609,0.6006,0.3557
0.9926,1.339,3.7282,2.2948,-0.5261,-1.0542,-0.4895,1.1061,0.1136,0.8851
1.1262,1.5718,2.0621,1.8822,-0.1239,-0.4459,-0.7995,1.332,0.4425,0.7292
1.4035,1.4857,2.8531,1.5171,-0.3048,-1.1142,-0.4829,1.8781,0.2733,0.3313
1.6066,1.4734,4.0406,1.0847,-0.2259,-0.9094,0.1559,0.9998,0.34,0.256
1.411,1.8904,3.061,1.5233,-0.7028,-0.5249,-0.3672,0.9566,0.1635,0.4871
1.5015,2.0385,4.1018,1.7115,-0.251,-0.2768,-0.5151,1.0151,0.2817,0.6344
0.8164,1.4209,2.0923,1.4051,-0.359,-0.3792,-0.3218,1.0724,0.1639,0.5069
1.7362,1.8435,3.394,1.8018,-0.6665,-0.2815,-0.3548,0.7871,0.2475,0.6334
1.122,1.5986,3.2816,2.4678,-0.5365,-0.2538,-0.6774,1.2489,0.2349,0.6034
1.4107,2.4329,3.2586,1.4585,-0.388,-0.4706,-0.0515,0.7132,0.2773,0.4901
0.7976,1.7407,2.0206,1.1694,-0.3543,-0.1497,-0.0689,0.917,0.1709,0.4743
1.1745,1.7839,3.7218,1.5565,-0.48,-0.3802,-0.1828,1.4312,-0.3768,0.577
1.7226,1.6482,3.3306,1.2888,-0.4906,-0.1485,-0.255,1.4593,-0.0961,0.4253
1.2534,1.3026,2.7408,1.7691,-0.3532,-0.1709,-0.2244,1.1831,-0.281,0.4581
1.7674,1.5667,3.8274,1.6756,-0.4717,-0.2251,-0.3721,0.9638,0.4147,0.3547
1.0285,1.3802,2.2168,1.91,-0.2453,-0.667,-0.2421,1.0661,-0.096,0.532
3.5704,1.6298,3.2625,1.544,-0.5226,0.4229,-0.1776,0.9652,-0.1708,0.5159
1.4078,1.4542,2.213,1.6164,-0.6498,-0.219,-0.1448,1.2009,0.1038,0.6678
1.0368,1.4063,3.7096,1.6304,-0.1999,-0.2105,-0.1931,1.6166,-0.6451,0.3951
1.0499,2.065,2.7838,1.2609,-0.0438,-0.8205,-0.2569,1.4162,0.0325,0.4903
0.7893,1.8275,2.8735,1.4172,-0.2946,-0.617,-0.4646,0.9103,0.087,0.33
1.2331,1.9716,4.8329,1.4081,0.1173,-0.654,-0.474,1.1697,0.3105,0.5062
1.2694,1.305,2.3694,1.6555,0.1074,-0.7498,-0.2626,1.3236,0.5697,0.7184
1.5428,2.7023,3.6838,1.4873,-0.3175,-0.1573,0.105,1.015,-0.2715,0.3476
1.2307,1.8492,4.9421,1.5088,-0.4294,-0.8122,-0.2116,0.8268,0.2131,0.433
1.2406,1.3548,3.8475,1.7757,-0.4582,-1.349,0.1178,1.0797,0.4071,0.394
1.7492,1.8837,3.9838,1.7738,-0.4241,-0.5866,-0.2161,0.9185,-0.3936,0.4461
1.071,1.3821,2.7126,2.4562,0.1558,-0.6576,-0.412,1.7366,-0.6668,0.6536
1.9195,1.6302,2.5505,2.2184,-0.6471,-0.2265,-0.4252,0.779,0.129,0.5062
1.0704,2.0205,4.7918,1.14,-0.0436,-0.5757,-0.3613,0.9325,0.5256,0.3101
1.4919,1.6491,2.5075,1.1847,-0.3486,-0.4765,-0.2856,1.3981,0.0466,0.5024
1.6282,2.4219,4.9622,1.3825,-0.5142,-0.336,-0.4899,1.0026,-0.173,0.7398
2.2915,2.5573,3.129,1.2647,-0.5713,-0.0717,-0.2137,0.7601,-0.171,0.4888
1.6897,1.744,2.8851,1.6801,-0.4504,-0.5642,-0.336,0.9862,0.428,0.7666
1.5002,1.531,3.4326,2.1721,-0.223,-0.3123,-0.3486,1.0695,-0.4944,0.3411
1.5416,1.3421,3.2475,1.7089,-0.7361,-0.3841,-0.2539,1.0695,-0.3528,0.3758
0.7918,1.5542,3.7706,1.4414,-0.0609,-0.6567,-0.4815,1.2786,0.0313,0.576
1.1658,2.0313,4.2287,1.4212,-0.2178,-0.2191,-0.1625,1.2656,-0.1666,0.2983
1.3844,2.6905,3.1251,1.3046,-0.3339,0.0527,-0.4956,0.7983,-0.5795,0.5106
1.0627,2.0537,3.7869,1.046,0.1044,-0.7758,-0.501,1.5242,0.2333,0.2331
2.0125,1.2381,3.2768,1.7621,-0.5994,-0.604,-0.1032,0.7571,0.2711,0.4743
1.466,2.3372,3.167,1.7945,-0.4275,-0.6484,-0.2693,0.9697,0.6517,0.7823
2.3982,1.7974,4.0217,2.1747,-0.4523,-0.4877,-0.236,1.1087,0.4204,0.4257
1.4537,2.6742,3.6743,1.4388,-0.0829,-0.6454,-0.1606,1.0596,-0.4192,0.4138
1.6255,1.739,4.7343,1.2573,-0.2713,-0.6378,-0.2962,1.5237,-0.0937,0.4427
1.1358,1.6227,2.856,1.0838,-0.3954,-0.0333,-0.2366,1.0407,-0.1305,0.4869
1.1834,2.087,3.0678,1.4561,-0.7965,-0.6073,-0.1373,1.0131,0.0891,0.4652
1.9352,1.7203,3.2032,1.1334,-0.3451,-0.6773,-0.1579,0.576,0.9746,0.6739
1.5699,1.6967,3.0951,2.6897,-0.9771,-0.4912,-0.255,1.0507,0.6384,0.4215
1.5864,2.5166,3.0032,1.802,-0.4523,-0.5879,-0.3824,0.8605,0.3219,0.6698
1.8159,1.5477,3.0153,1.4806,-1.0268,-0.6928,-0.366,1.0152,0.2614,0.5659
0.9829,1.9485,3.8032,1.7022,-0.3522,-0.3054,-0.2582,0.9204,0.0634,0.3923
1.1738,1.9642,3.0165,1.2328,-0.0192,0.0424,-0.8488,1.262,-0.15,0.8495
2.8806,1.8599,3.9119,1.1414,-0.5848,-0.673,-0.3517,1.2977,0.0437,0.3126
1.5138,1.6086,2.3124,1.3158,-0.2614,-0.6387,-0.1698,1.224,0.4503,0.2615
1.353,1.5721,3.1935,1.9706,-1.1097,0.0095,-0.3832,0.7179,-0.3079,0.402
1.5525,1.2733,3.0826,1.2158,-0.6949,-0.0438,-0.2686,1.3824,-0.57,0.4379
1.6409,2.6606,3.1109,1.7291,0.1116,-0.2193,-0.1765,1.0113,-0.1928,0.4886
1.4026,1.4864,4.1598,1.4144,-0.2082,-0.2374,-0.4769,0.6926,0.3094,0.5635
1.0811,1.4889,3.5761,0.908,-0.2362,-1.2002,-0.1153,0.941,0.8754,0.54
1.6879,2.1983,3.9438,1.3184,-0.4567,-0.7795,0.081,0.6245,0.2467,0.4225
1.7016,2.4884,4.9632,1.2012,-0.599,-0.3061,0.1559,0.6152,0.218,0.3722
1.4916,2.3431,3.1426,1.5046,-0.3222,-0.8844,-0.5547,1.4099,0.6641,0.5459
1.5392,1.8315,3.2727,1.255,-0.8295,0.0402,-0.2407,0.9462,-0.0894,0.5159
0.9691,1.5192,1.7502,1.1582,-0.375,-0.9381,-0.3237,1.3064,0.4851,0.5182
