"b_RE[1]","b_RE[2]","b_RE[3]","b_HIV","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]"
0.8189,2.2974,3.1064,1.0747,-0.0392,-0.5849,-0.1187,0.4958,0.6218,0.291
1.1282,1.3183,3.3783,1.6131,-0.8326,-0.7426,-0.2847,1.0534,0.0386,0.5656
1.1875,1.5969,3.0724,1.6239,-0.6767,-0.9535,0.0345,0.7654,0.5541,0.4298
1.2379,1.7092,4.269,1.7965,-0.1394,-0.5455,-0.3489,1.263,0.3049,0.2763
2.0246,1.7671,2.6002,1.6787,0.1356,-0.4814,-0.5446,1.3058,-0.1314,0.3486
1.7727,2.6272,3.4454,1.0156,-0.1001,-0.962,-0.1879,1.4436,0.0392,0.2485
1.672,1.4703,2.856,1.7712,-0.6808,-0.1492,-0.0497,0.6602,0.36,0.5677
0.5243,1.6077,4.534,1.2043,-0.5855,-0.3578,-0.6647,0.9447,0.36,0.3487
1.8792,1.8449,3.2209,1.0053,-0.2013,-0.3119,-0.1846,1.0463,-0.0922,0.3905
1.6251,1.6939,4.2325,1.9332,-0.2501,-0.8539,-0.4264,1.0814,0.5942,0.7136
2.2495,1.762,3.8223,1.9373,-0.5351,-0.0915,-0.5786,1.1291,0.2289,0.5361
1.1721,2.0177,3.7847,1.8251,-0.8162,-0.5551,-0.0783,0.754,0.0365,0.3774
1.1153,2.208,4.5202,1.3982,-0.2002,-0.7759,-0.2472,1.0672,0.0808,0.4702
2.1162,1.7732,4.6473,2.0831,-0.3512,-0.3104,-0.2559,0.8613,-0.2802,0.6389
1.327,1.1676,2.9523,2.0889,-0.8129,-0.0499,-0.3564,0.9269,-0.6404,0.6482
1.355,1.7499,2.4164,1.3796,-0.5685,-0.6052,-0.0861,1.4346,0.0141,0.0823
1.484,1.9166,3.8229,1.0966,-0.0905,-0.5009,-0.4478,1.4098,-0.0759,0.3634
1.7337,1.4599,2.7927,1.3661,-0.5071,-0.2062,-0.2863,0.8858,-0.1856,0.5769
1.1117,0.9416,2.2392,1.5071,-0.2675,-0.9025,0.0802,1.7326,0.1333,0.3564
1.2267,1.6011,3.4998,2.0724,-0.0846,-0.2251,-0.267,1.4845,-0.3303,0.2928
1.1112,1.9762,2.2526,1.8314,-0.5808,-0.1999,-0.6662,1.2234,-0.112,0.6592
1.4446,1.8993,4.7261,0.8622,-0.3185,0.0033,-0.3146,1.4662,-0.4516,0.6849
0.9003,1.7155,2.3791,1.6805,-0.4404,-0.4213,-0.3106,1.2042,-0.2977,0.6122
0.9207,1.6667,3.5332,1.6865,-0.5226,-0.6422,-0.3117,1.2287,-0.4219,0.3396
1.228,1.9395,3.3925,1.851,-0.3964,0.1621,-0.5729,1.0964,0.0019,0.8149
1.1785,1.0312,2.0788,2.2517,-0.9441,-0.0767,-0.3617,0.7723,-0.62,0.5441
1.7873,1.8741,2.9384,1.5757,-0.5073,-0.3278,-0.4799,0.9577,-0.1322,0.4014
1.7119,2.2744,2.6855,1.5399,-0.0795,-0.7267,-0.1741,1.0037,0.7477,0.5458
1.5463,1.8953,4.396,1.3249,-0.5314,-0.2607,-0.6021,0.9899,0.181,0.7762
1.5984,2.0135,2.9331,1.1659,-0.5698,-0.7532,-0.0203,0.6466,0.4178,0.3999
1.5799,1.8377,3.5289,1.2245,-0.4196,-0.6441,-0.1936,0.9072,0.086,0.4059
1.3332,1.8,3.5579,1.5906,-0.5341,-0.394,-0.4663,0.9701,-0.2718,0.5173
1.146,1.668,3.7244,1.6214,-0.4343,-0.4906,-0.2021,1.2034,-0.1297,0.7143
1.5105,1.3216,4.3956,1.4564,-0.6308,0.2749,-0.4518,0.6733,-0.5615,0.4216
1.2671,1.8179,3.3923,1.3774,-0.4414,-0.3616,-0.3553,0.6339,-0.0777,0.5783
1.3538,2.6126,3.9913,1.4056,-0.6073,-0.2342,-0.1335,0.5395,0.0891,0.6393
1.0466,3.5885,2.209,1.5887,-0.2015,-0.0626,-0.4702,1.2624,-0.2173,0.5387
1.6166,1.5831,3.0896,1.5531,-0.4645,-0.1493,-0.507,0.7065,-0.0408,0.5303
1.8296,1.8164,4.194,0.9805,-0.2062,-0.4672,0,0.7741,0.0299,0.36
1.2182,1.8785,4.0535,1.3602,-0.5684,-0.3063,-0.5401,0.7564,-0.0474,0.5704
1.536,1.6233,3.2368,1.816,0.253,-0.8741,-0.0342,1.5875,0.1599,0.2558
1.1438,2.1665,3.0648,1.4418,-0.0448,-0.532,-0.6139,1.6769,-0.1975,0.4396
1.8789,1.6665,3.8899,1.5376,-0.4135,-0.6975,-0.5604,1.1492,-0.1521,0.4824
1.2018,1.5589,3.2901,1.1358,0.033,-0.7607,-0.5392,0.9665,0.6605,0.6673
0.9947,2.1142,4.0984,1.1773,-0.2452,-0.2529,-0.3587,0.7214,-0.0874,0.4016
1.5791,2.7009,3.6511,1.1676,-0.4575,-0.8192,-0.6721,0.9456,0.4072,0.3957
1.1041,2.3265,2.9115,1.0999,-0.4031,-0.1673,-0.4208,0.9252,-0.28,0.5583
1.4959,1.2484,2.5675,2.081,-0.3649,-0.7061,-0.3352,1.452,0.3099,0.4553
1.7635,1.3659,4.4268,1.6771,-0.4532,-0.4611,-0.269,0.7272,-0.1052,0.6684
0.8987,2.1179,2.9549,1.6382,-0.2758,0.121,-0.5882,1.0328,-0.0022,0.6415
1.1568,1.864,3.3779,2.0953,-0.7671,-0.5073,-0.1842,0.8618,0.206,0.6947
1.7046,1.4399,4.2718,1.6584,-0.3495,-0.2585,-0.2446,0.7034,0.0348,0.6028
1.6752,1.6417,5.0906,1.5046,-0.4988,-0.6027,-0.1598,0.9085,0.0238,0.2897
1.7718,1.6704,4.5305,1.0809,-0.0812,-0.3491,-0.3066,1.0432,0.0293,0.0696
1.5851,2.1524,3.9354,1.1983,-0.0052,-1.1102,-0.34,1.2197,0.7692,0.573
1.0763,1.2194,3.3847,1.8657,-0.5039,-0.5654,-0.514,1.101,0.2929,0.6492
1.2262,2.1188,3.6294,1.3436,-0.5755,-0.3554,-0.3715,1.1165,-0.2642,0.4033
1.4548,2.4246,3.1211,1.67,-0.3713,-0.396,-0.2529,1.1761,0.2931,0.6148
1.4724,1.4349,3.7546,2.1954,-0.9252,-0.6384,-0.1085,0.9624,5e-04,0.4954
1.633,1.8802,4.0756,2.0191,-0.4459,-0.1117,-0.1819,1.1258,-0.4092,0.2838
1.5751,1.8611,3.0507,1.1743,-0.261,-0.5124,0.1053,0.9644,0.0991,0.1128
1.129,1.6927,2.7734,1.5064,-0.2623,-0.6461,-0.4085,0.9675,0.2669,0.5809
1.5046,2.1482,5.0944,1.4004,-0.046,-0.2572,-0.4025,1.0882,0.1257,0.5696
1.3506,1.1404,3.4385,1.8562,-1.1285,-0.6963,-0.568,0.8233,-0.3343,0.4212
1.4246,1.4977,2.8171,0.9805,-1.1364,0.0611,0.037,0.7112,-0.3689,0.3323
0.7488,1.5842,2.9762,1.3244,-0.0399,-1.0953,-0.3045,1.2477,0.4764,0.5332
1.2018,1.3171,3.5088,1.751,-0.2614,-0.3875,-0.3978,1.4988,0.0546,0.3869
1.1686,1.3831,2.6273,1.0525,-0.6918,-0.542,-0.4022,0.9416,0.1632,0.5225
1.2897,1.8995,2.4377,1.4053,-0.3829,-0.3149,-0.2332,0.8646,-0.0192,0.4126
1.9466,1.6359,3.223,1.6805,-0.7191,-0.2697,-0.4684,1.0717,0.0824,0.3916
1.5525,2.7131,3.3639,1.4101,-0.1159,-0.8212,-0.1541,1.2167,0.4771,0.5303
0.756,2.4171,3.4852,1.1835,-0.5104,-0.2298,-0.3782,1.0839,-0.2944,0.7139
1.3624,2.1869,2.8369,1.5469,-0.5674,0.1054,-0.393,1.1866,-0.308,0.3804
1.6918,2.3223,2.8,1.2584,-0.485,-0.4374,-0.1755,0.6157,-0.0196,0.5063
1.0613,2.0257,3.0681,1.9896,-0.4889,-0.5023,-0.5394,1.1162,0.6293,0.5576
1.4229,2.3421,3.9002,0.7613,-0.4949,-0.5673,-0.1929,0.8771,0.1777,0.4679
1.2624,1.7115,2.5486,1.9443,-0.31,-0.8819,-0.5394,1.3409,0.3798,0.2936
0.6896,1.308,1.9177,2.1404,-0.0833,-0.4677,-0.1848,1.1648,0.1524,0.6342
0.5406,1.5797,2.9502,1.5586,-0.0477,-0.1463,-0.5043,1.2518,0.261,0.4456
1.0883,1.5502,2.1841,1.5948,-0.247,-1.0477,-0.1219,0.7684,0.7225,0.4967
1.0073,1.0945,2.1364,1.9566,0.0433,-0.0732,-0.56,1.5164,-0.1756,0.6171
1.7603,1.9289,2.4365,1.3126,-0.4665,-0.1251,-0.0071,0.6298,-0.4399,0.3248
1.0782,1.165,2.9686,2.2006,-1.1174,-0.7053,-0.3375,0.9108,-0.5518,0.7422
2.3266,1.7251,2.7038,1.6982,0.0699,0.0365,-0.0858,1.5623,-0.3447,0.097
1.4376,2.3525,3.6365,0.8122,-0.4148,-0.3463,-0.1636,0.6963,0.5102,0.2823
1.8594,1.4724,3.992,0.8451,-0.2584,-0.5841,-0.1146,1.0847,-0.1929,0.3145
0.7664,1.3325,2.6486,1.6287,-0.1672,-0.1214,-0.4411,1.028,0.1965,0.6322
0.8259,1.7735,3.0124,2.0271,-0.0759,-1.0261,-0.6019,0.9587,0.6198,0.7974
1.1048,1.61,4.2088,1.4691,-0.2009,-0.6809,0.0528,0.7269,0.5066,0.5059
1.2644,2.0298,4.5796,1.4297,-0.1016,-0.5431,-0.1078,1.1299,-0.0404,0.3203
1.5187,1.7526,3.5919,1.6417,-0.6277,-0.4195,-0.4303,1.2403,-0.1111,0.3231
1.8134,2.6194,2.8045,1.1138,-0.3199,-0.0925,-0.06,1.0845,-0.5252,0.3602
1.0448,1.8403,3.4859,1.6115,-0.4394,-0.4082,-0.1152,0.665,0.0645,0.1967
1.0857,1.6072,4.6011,1.6572,-0.3465,-0.4689,-0.7279,0.719,0.0232,0.8241
1.9759,1.7259,2.4124,0.8821,-0.6753,-0.4082,-0.4063,1.0611,-0.1685,0.4042
1.5212,1.7532,4.135,1.3816,-0.3531,-0.6183,-0.3487,0.9851,0.4649,0.3425
1.5214,2.1262,4.5837,1.0489,-0.3005,-0.7199,-0.2038,0.9183,0.2087,0.3946
1.4804,2.1832,3.8613,1.8879,-0.3262,-1.2592,-0.6336,1.4516,0.7865,0.3447
1.1248,2.1125,2.2128,1.2225,-0.2526,-0.0069,0.0104,0.9704,-0.4924,0.5567
1.1142,1.5886,2.5791,1.3237,-0.6047,0.0484,-0.2895,0.9058,-0.3668,0.393
1.2399,1.2247,4.3392,1.3382,-0.9687,-0.4183,-0.9046,0.9125,0.0419,0.8611
1.3179,1.8893,4.2833,1.3382,-0.492,-0.1067,-0.6147,0.8158,0.0572,0.8248
1.462,1.392,2.147,1.3295,0.0674,-0.2466,-0.5122,1.3435,0.0519,0.7213
1.0158,1.9519,2.7395,1.1428,-0.2152,-0.1551,-0.0679,1.0586,-0.1748,0.6641
1.1316,1.2227,2.311,1.1757,-0.3963,-0.2793,-0.1451,0.9508,-0.2054,0.4496
1.3265,1.7307,3.9759,1.9883,-0.0416,-0.6092,-0.4043,1.1316,0.2437,0.6614
1.4385,1.7281,5.2136,1.116,-0.4544,-0.371,-0.3872,1.2243,-0.1791,0.51
1.6169,1.5375,3.0618,1.8678,-0.3242,-0.2547,-0.5166,0.8551,0.0131,0.736
1.0563,1.9444,2.9509,1.8487,-0.3616,-0.5033,-0.5456,0.6705,0.6056,0.6228
0.8434,2.2814,5.5343,0.944,-0.5842,-0.1283,-0.3199,0.5857,0.1378,0.5415
1.5686,1.2348,1.9983,1.4529,-0.7926,-1.0457,-0.1865,1.0522,0.6488,0.5293
1.204,1.5878,2.6464,2.393,-0.4437,-0.2446,-0.4807,1.4043,-0.0851,0.3008
1.7247,1.123,3.7597,2.0579,-0.6642,-0.2021,-0.0908,1.2643,-0.3162,0.5835
1.1389,1.3154,3.1358,2.176,-0.6369,-0.2626,-0.6433,0.8717,-0.0079,0.87
1.244,2.2421,6.1571,1.6218,-0.5661,-0.4973,-0.3499,0.7643,0.0092,0.381
1.0435,1.8377,2.4664,1.7294,-0.2659,-1.1682,-0.4468,1.2452,0.8959,0.6857
1.2876,1.5436,3.8033,1.3804,-0.5194,-0.4361,-0.3222,0.9908,0.0717,0.492
1.694,2.2163,4.5468,1.8932,-0.3708,-0.3407,-0.2818,0.6264,0.2864,0.3416
1.7263,2.8893,3.5972,1.5398,-0.4246,-0.1181,-0.0669,1.0285,-0.1837,0.3359
2.2807,1.9896,2.5758,1.4322,-0.6606,-0.0043,-0.1931,0.9257,-0.0313,0.3459
1.7118,2.3353,3.2292,1.395,-0.3427,-0.0089,-0.2868,0.9894,0.2147,0.3374
1.1631,1.9432,1.9693,1.8151,-0.5824,-0.0041,-0.7645,1.4094,0.1243,0.4935
0.9801,1.8315,2.8432,1.7256,-0.0905,-0.7111,-0.1029,1.1592,0.5307,0.2989
1.1565,1.7855,2.8686,1.6593,-0.5292,-0.3604,-0.4472,1.4234,-0.4873,0.7368
1.5407,1.5408,4.1542,1.163,-0.6786,-0.1549,-0.3381,0.5604,0.3322,0.5393
0.4626,2.7486,5.2855,1.0847,-0.4543,-0.1777,-0.4718,0.8333,-0.0757,0.7119
1.7146,2.1539,4.6205,1.5069,-0.2145,-0.8193,-0.2704,1.4876,-0.0882,0.2421
1.6027,2.3636,3.6974,1.3408,-0.9789,-0.6158,-0.2047,0.5834,-0.0985,0.2689
0.874,1.7301,2.518,1.8616,0.0032,-0.6111,-1.1972,1.4008,0.872,0.8557
0.8862,1.3698,2.9696,1.7078,-0.3938,-0.4244,-0.1402,1.5668,-0.1829,0.6601
1.3808,2.038,3.6001,0.9988,-0.5219,-0.7855,-0.2205,0.7659,0.3286,0.5192
0.8968,1.5781,2.7119,1.1916,-0.7466,-0.7604,-0.0512,0.9441,1.0896,0.7088
1.2044,1.5536,3.3996,0.9984,-0.8089,-0.7233,-0.1899,0.5417,0.1037,0.457
1.8811,1.9759,5.5414,1.1984,-0.4855,-0.5573,-0.1432,0.7314,0.2066,0.3344
1.9902,1.6957,2.4009,2.0786,-0.5451,-0.2228,-0.32,1.0349,-0.077,0.6257
0.9666,1.9323,3.88,1.7624,-0.6048,0.1118,-0.8069,0.9519,0.0116,0.7435
1.3526,1.5634,5.4425,1.9895,-0.0239,-0.2017,-0.4805,1.2456,-0.1796,0.2662
1.389,1.7921,2.5528,1.7054,-0.5935,-0.535,0.0082,1.3762,0.0883,0.2885
1.3062,0.9832,3.6906,1.7725,-0.4881,-0.9075,-0.551,1.0721,0.3086,0.3206
1.0047,1.9113,3.2014,1.3508,-0.6436,-0.2461,-0.0994,0.7592,-0.0082,0.2423
0.9671,1.3002,2.4741,1.9345,-0.6793,-0.1829,-0.1037,1.203,-0.1694,0.3099
0.9236,1.8755,4.1747,1.7275,-0.1882,-0.33,-0.4251,1.0899,0.3645,0.5838
1.9185,1.8119,2.8596,2.1666,-0.9313,-0.7537,-0.2017,0.6563,0.6164,0.2572
1.2164,2.5387,5.3086,1.5377,-0.4237,-0.3582,-0.0487,0.5439,-0.1168,0.4328
1.2755,2.55,2.5022,1.379,-0.2726,-0.6872,-0.4836,1.4192,0.5915,0.1158
1.0808,1.9337,2.9703,1.6474,-0.5112,-0.7329,-0.3866,1.0461,0.4061,0.6048
0.5338,1.6823,2.2139,1.0871,-0.5299,-1.1072,0.0165,1.0453,1.1603,0.4137
1.831,2.0335,3.247,2.3921,-0.4328,-0.3193,-0.6806,1.1163,0.0978,0.5605
1.8322,1.6064,2.8416,1.1482,-0.5191,-0.3839,-0.1958,0.8353,-0.3839,0.5394
1.6079,2.1692,2.7461,1.5378,-0.1497,-0.4318,-0.3848,1.4365,0.2194,0.5839
1.3935,2.1174,4.6183,1.3382,-0.2017,0.1188,-0.6469,0.7081,0.0293,0.7179
0.981,1.3543,1.9639,1.6387,-0.6964,-0.0286,-0.1096,1.1966,0.2067,0.8777
0.7603,0.7196,4.2352,1.6692,0.1676,-0.9104,-0.5039,2.0937,-0.0042,0.6329
1.0954,0.8778,3.0385,1.3398,-0.7223,-0.6831,-0.1715,0.7429,-0.0154,0.931
0.9335,1.1422,2.4658,1.8469,-1.0427,-1.1877,-0.134,1.1392,0.8039,0.7318
1.6302,1.5738,3.2366,1.1841,-0.6161,-0.7196,0.0171,0.9887,-0.1149,0.2996
1.4812,2.1852,3.5361,1.674,-0.4354,-0.3868,-0.531,1.0964,0.2723,0.5032
2.1153,2.6621,3.5979,1.3436,-0.5671,-0.6255,-0.3219,1.0306,0.3842,0.3853
1.6189,1.6876,2.6539,1.0451,-0.348,-0.7875,0.0086,0.8514,0.1371,0.5179
1.0189,1.2684,2.7024,1.8543,-0.2011,-1.3209,-0.1119,1.0769,0.7986,0.6314
1.0264,1.1785,4.6462,1.3241,-0.344,-0.3165,0.082,1.1495,0.1146,0.2431
1.3917,1.698,4.1139,1.0735,-0.4761,-0.7649,-0.0574,0.8506,0.1646,0.3771
1.3289,1.5532,2.846,1.3531,-0.3999,0.0292,-0.1469,1.1141,-0.1802,0.3109
1.0927,1.3609,1.9818,1.2364,-0.6699,-0.1485,-0.2223,1.0118,-0.1911,0.68
2.5461,1.7146,2.5038,1.6273,-0.5122,-0.5693,-0.1654,0.7934,-0.1667,0.4666
1.2216,2.0031,4.0176,1.6421,-0.759,-0.3247,-0.6439,1.1088,0.3884,0.6246
1.3342,1.5385,2.0612,1.3001,-0.3299,-0.5833,0.2626,1.0975,0.2286,0.225
1.7255,1.9776,6.7315,1.4496,-0.1453,-0.2114,-0.532,0.9891,0.2432,0.5194
0.8657,1.7011,2.1332,2.4564,-0.4385,-0.428,-0.5566,1.3378,0.139,0.7117
0.5998,1.9531,2.0652,1.0371,-0.0587,-0.1779,0.1397,0.9089,-0.1547,0.2894
1.1345,1.4051,3.4675,1.886,-0.5566,-0.8018,-0.2545,1.0756,0.5108,0.1975
1.4341,1.5929,5.53,1.3981,-0.4652,-0.9842,-0.1877,0.9618,0.2749,0.5654
1.4852,2.2334,3.0839,1.1207,-0.4322,-0.6145,-0.1509,0.6575,0.1264,0.4652
0.9842,1.2321,3.125,1.5689,-0.2665,-0.5234,-0.5412,1.0464,0.3184,0.9655
1.8856,2.2391,3.652,1.1791,-0.3129,-0.3708,-0.1726,1.0368,-0.1381,0.1527
1.7079,2.462,3.7097,1.4588,-0.6766,-0.7585,-0.2062,0.7896,0.2838,0.1426
1.1872,1.117,1.8086,1.7453,-0.2593,-0.5094,-0.0351,1.7958,-0.4867,0.4364
1.6289,1.4688,2.8917,1.8436,-0.5374,-0.8679,0.1661,0.5394,0.2643,0.3622
2.1689,1.7658,3.211,0.7382,-0.3711,-0.8467,-0.0413,1.1125,0.4901,0.3963
1.4183,1.6991,5.2519,0.9825,-0.6551,-0.5034,-0.2278,0.6688,0.3199,0.4081
1.1899,2.1827,2.3414,1.7059,0.1722,-0.4768,-0.5546,1.3952,0.1761,0.5895
1.1878,1.7244,2.703,1.3269,-0.2827,-0.2955,-0.0936,0.9884,0.2087,0.5393
1.2211,1.6097,2.0643,1.7539,-1.0088,-0.4127,-0.0786,0.7111,0.0377,0.6619
1.4959,1.6579,3.2842,1.4682,-0.2055,-0.292,0.2394,1.1702,-0.3172,0.2989
1.4939,1.6059,3.5846,1.2949,-0.4743,-0.2559,-0.1803,0.5818,0.2877,0.566
1.3616,1.8752,2.1567,1.7113,-0.5722,-0.6048,-0.4949,1.2512,0.047,0.5315
1.9001,1.9536,4.0804,1.2135,-0.3358,-0.1827,-0.2816,1.1279,-0.432,0.1915
1.9794,1.1986,3.5611,1.8458,-0.2818,-1.0039,-0.2961,1.0216,0.6009,0.3284
0.9597,2.766,3.5936,0.7513,-0.1618,-0.1424,-0.1038,0.7072,-0.1308,0.3557
1.3623,1.8095,3.4892,1.2603,-0.6288,-0.0963,-0.4796,0.6878,0.083,0.4817
1.1625,1.7449,2.7401,1.4883,-0.6313,-0.2498,-0.1995,1.1347,-0.256,0.4066
1.6256,2.1583,2.123,1.7346,-0.2905,-0.6701,-0.2092,0.8617,0.495,0.5475
1.3563,1.7677,3.8262,1.8705,-0.5271,-0.2395,0.053,0.7548,-0.033,0.1667
2.0477,2.539,3.4975,1.4075,-0.3305,-0.2502,-0.2588,1.075,0.2784,0.4984
1.4161,1.4031,3.105,1.1735,-0.6633,-0.489,-0.0156,1.1994,-0.1127,0.3917
1.0528,1.7203,3.1458,1.2548,-0.3416,-1.041,-0.2334,1.1543,0.2,0.4805
0.9708,1.1657,2.3646,1.7337,-0.6551,-0.5275,-0.6342,1.1887,0.4556,0.5821
1.4038,1.9214,4.1014,1.5888,-0.1543,-0.607,-0.4394,1.3482,0.0484,0.5055
1.008,1.5792,3.2004,1.9049,-0.2724,-0.6527,-0.1428,1.064,0.5295,0.388
1.1178,1.627,2.961,1.362,-0.6605,-0.7846,0.0188,0.7737,0.1222,0.4801
1.6702,2.1698,2.9771,1.5353,-0.2055,-0.5179,-0.4179,1.2781,-0.3654,0.5942
0.9779,2.2565,2.281,1.2458,-0.5076,-0.0814,-0.2752,0.8542,-0.1437,0.6014
0.7745,2.2342,4.1236,1.6035,-0.3872,-0.3315,-0.2525,0.6413,0.2031,0.5446
2.3853,1.4881,3.331,1.336,-0.3586,-0.6505,-0.514,1.0836,0.1876,0.4378
1.8773,2.214,2.603,1.2887,-0.5786,-0.1937,-0.0683,0.8314,-0.3923,0.0353
1.186,1.0342,2.2021,1.3287,-0.587,-0.8026,-0.1612,1.0546,0.3945,0.734
0.8707,2.03,2.1703,1.2815,-0.5639,-0.5233,-0.2069,0.7258,-0.1996,0.6402
1.253,1.7555,2.7969,1.4655,-0.2433,-0.3987,-0.5648,1.6175,0.3112,0.3825
0.3098,2.0135,3.4834,0.9992,-0.3747,-0.4783,-0.009,0.582,0.5999,0.6343
1.0391,1.8794,2.6077,1.6309,-0.8668,-0.4957,-0.4957,0.6767,0.5959,0.9474
1.3364,1.3343,3.8041,2.2529,-0.5627,-0.6114,-0.3697,1.1388,0.0895,0.6047
1.5677,1.2925,3.3072,1.4244,-0.6117,-0.4478,-0.1817,0.8279,0.1434,0.3612
0.8275,1.2537,2.1191,1.0555,-0.695,0.1251,-0.4341,0.9554,-0.9182,0.0993
2.2732,1.7592,4.7538,0.8468,-0.6606,-1.0463,0.0601,0.9054,0.4434,0.1818
1.3021,1.5819,4.2532,1.517,-0.3547,-0.6135,-0.329,1.1664,-0.1216,0.6264
1.6547,2.2404,2.7189,0.9053,-0.1215,-0.5542,0.1788,1.1617,0.141,0.0946
1.1402,1.5354,2.7002,1.1177,-0.4814,-0.5998,-0.1492,1.0054,0.0126,0.3805
1.2577,1.6402,5.1019,1.3735,-0.302,-1.0238,-0.5966,0.9584,0.5074,0.6748
0.9747,1.9253,2.5115,1.9703,-0.1074,-0.2564,-0.9304,1.5804,0.4202,1.1304
1.3927,2.2555,3.6647,1.0667,-0.4386,-0.1094,-0.4545,0.9458,0.0151,0.4506
1.1814,1.9457,3.8754,1.1711,-0.2923,-0.5232,-0.1736,1.0891,-0.1403,0.4847
1.6702,1.6538,3.4706,1.1981,-0.3325,-0.1583,-0.1215,0.9258,-0.1341,0.5051
1.2003,1.9679,3.1137,1.7895,-0.2934,-0.8155,-0.0708,1.0369,0.4242,0.6278
1.0993,1.1324,3.7082,1.5475,0.0306,-1.0698,-0.2478,1.586,0.4922,0.0967
1.5487,2.0509,3.502,0.8979,-0.4878,-0.2075,-0.1354,0.8934,-0.2057,0.1777
2.031,1.3921,4.5979,1.639,-0.7812,0.0311,-0.2656,0.8982,-0.5029,0.281
1.441,2.0202,2.588,1.7052,-0.6008,0.0626,-0.5229,0.9587,-0.3702,0.622
1.9635,1.235,3.4459,1.3391,-0.6256,-0.1993,-0.4996,0.9696,-0.4821,0.4546
1.2239,1.2934,3.4867,1.0782,-0.6344,-0.7189,0.0133,0.8199,0.6642,0.2039
2.3856,1.7388,3.7299,1.4486,-0.3419,-0.499,0.1484,0.868,-0.0875,0.5094
1.5045,1.9201,2.4177,2.068,-0.5553,-0.2873,-0.3865,0.9233,0.0713,0.69
1.426,2.1523,2.398,1.6191,-0.797,-0.168,-0.225,0.9151,0.0619,0.545
0.9382,1.8956,3.3646,1.7369,-0.4095,-0.4006,-0.3217,1.4158,0.1765,0.4708
1.882,1.7744,4.0318,1.1888,-0.7835,0.091,-0.6895,0.7746,-0.4976,0.6082
0.9783,1.6234,1.8491,1.8982,-0.6918,-0.1678,-0.3805,1.1258,-0.341,0.4234
1.1806,1.6738,2.9337,1.4306,-0.4815,-0.77,-0.1141,1.3734,0.1011,0.4632
0.9299,1.4321,4.225,1.0421,-0.0283,-0.1928,-0.2474,0.8642,-5e-04,0.459
1.1511,1.8774,3.9772,1.5214,-0.3028,-0.9563,-0.3596,0.927,0.301,0.2446
0.989,1.5182,2.2656,1.6319,-0.1706,-0.6645,-0.4522,1.3612,-0.0697,0.2515
1.4349,2.3653,3.4836,0.8237,-0.6358,-0.7656,-0.2203,0.679,0.3447,0.5531
1.103,1.9107,3.2989,1.6993,-0.3059,0.1072,-0.3699,1.3857,-0.2015,0.5397
1.2619,1.2809,2.7844,1.3204,-0.9072,-0.4703,-0.2262,1.599,-0.5501,0.0537
0.9768,1.7471,3.8811,1.0427,-0.4397,-0.6751,-0.3673,0.9061,0.1474,0.5134
1.7549,2.2173,2.3093,1.78,0.0219,-0.4931,-0.2811,0.9895,0.4897,0.5842
1.6259,1.5578,3.4676,1.1413,-0.1002,-0.8385,-0.0881,0.8293,0.4398,0.6475
1.513,1.473,3.7346,1.67,-0.5688,-0.7047,-0.3234,0.9727,0.2888,0.6777
1.4135,1.9122,1.9878,1.3058,-0.3563,-0.0811,-0.4783,1.0809,0.161,0.5257
1.111,2.1131,2.7618,1.6856,-0.6605,-0.5878,-0.2113,0.7338,0.7046,0.289
1.5586,1.8899,3.1399,1.6241,-0.5952,-0.3463,0.1324,0.7399,0.1477,0.1811
0.8293,1.4252,4.3986,1.4873,-0.4151,-0.6063,-0.1454,0.6293,0.4455,0.4846
2.4305,1.6955,3.3664,1.6476,-0.8829,-0.2895,-0.0212,0.3492,0.0049,0.4204
0.6111,2.0607,2.5677,1.3337,-0.4092,-0.1516,-0.3861,0.9905,0.1492,0.5567
1.6513,1.9151,2.5245,1.1881,-0.5505,-0.9251,-0.2436,1.3812,0.5148,0.4313
1.4215,2.3161,3.2634,1.5006,-0.2823,-0.5085,-0.5041,1.1951,0.1194,0.2439
1.1256,1.6836,2.9225,1.0804,-0.5791,-0.0701,-0.5573,1.0822,-0.5007,0.6429
1.3831,1.8912,3.9738,1.9674,-0.3396,-0.9779,-0.4104,1.3135,0.8707,0.6156
1.4561,1.7661,2.0523,1.3926,-0.6132,-0.1346,-0.2265,0.723,-0.2204,0.3034
1.1842,1.353,2.6988,1.8013,-0.5671,-0.8676,-0.335,1.1044,0.205,0.5557
1.3515,1.9401,2.8512,1.5136,-0.6439,-0.3696,-0.1319,0.7843,-0.0864,0.5853
1.6437,1.4506,2.4627,1.7956,-0.3225,-0.3551,-0.0361,0.8015,-0.2088,0.6296
1.1306,1.6577,4.5732,1.3475,-0.1386,-0.0069,-0.2335,1.02,-0.2799,0.6744
1.5796,2.0783,2.9446,0.9564,-0.6343,-0.5179,-0.5141,0.9941,0.0829,0.4837
0.8097,1.2127,2.511,1.4723,-0.0048,-0.1773,-0.2217,1.9336,-0.7143,0.2868
1.608,1.7553,2.6255,1.3239,-0.4644,-0.7185,-0.1919,1.0561,0.4161,0.4176
1.7691,1.8721,5.1717,1.0937,-0.6744,-0.4911,-0.2409,0.9652,0.0908,0.463
1.1784,1.7731,3.0521,1.935,-0.4149,-0.6411,-0.1697,1.8404,0.0111,0.3548
