"z_Smear[1]","z_Smear[2]","z_Mgit[1]","z_Mgit[2]","z_Xpert[1]","z_Xpert[2]"
-7.6724,1.1117,-4.5311,-0.5921,-5.9539,-2.4814
-4.3175,1.879,-6.3462,0.285,-7.2968,-0.7969
-6.9997,0.3672,-7.1442,-1.632,-7.1322,-3.6636
-7.4278,0.809,-6.7891,-0.7231,-5.6512,-1.5543
-5.918,0.2912,-5.7322,-1.3251,-4.9275,-2.3157
-7.0425,1.4291,-5.3698,-0.5093,-5.9924,-1.4997
-7.7019,0.9269,-5.3363,-1.3568,-6.0228,-3.3219
-8.1885,0.8147,-7.2,-0.7222,-5.9836,-2.0347
-5.7396,1.0542,-6.4428,-0.3649,-8.0363,-1.7065
-9.6134,0.5904,-6.5308,-0.9817,-6.1413,-3.1818
-6.7066,1.6997,-4.2594,-1.3538,-5.3122,-2.049
-6.6599,0.9907,-5.315,-1.2502,-5.9086,-2.258
-7.5504,0.2511,-5.6053,-1.0968,-6.3967,-2.7352
-8.957,0.4796,-6.5496,-1.1771,-5.6962,-2.3851
-7.2743,1.2637,-4.771,-0.3869,-6.8607,-0.6265
-6.3749,0.4723,-7.0715,-0.4298,-6.5802,-1.6088
-6.7135,1.3266,-7.0392,0.061,-5.7355,-0.8274
-6.2773,0.6324,-6.2052,-0.3358,-6.261,-1.2743
-11.3205,1.6599,-4.4776,-0.7665,-6.4616,-3.4182
-8.5868,1.364,-8.2986,-0.2531,-5.7857,-1.5545
-8.211,1.0839,-7.3673,-0.1594,-5.9096,-2.4392
-6.7933,0.2748,-6.4655,-1.7291,-6.9958,-2.7197
-7.5125,0.8063,-5.2231,-1.5881,-6.9881,-2.8272
-5.7404,0.8756,-4.9584,0.0209,-5.075,-1.4597
-7.7112,1.3891,-4.2617,-0.8731,-5.8797,-1.4245
-7.0867,0.7894,-5.6019,-0.9414,-6.0623,-2.0405
-7.3415,1.3134,-6.1733,-0.7153,-9.1209,-1.9824
-8.3612,0.66,-6.9047,-0.9507,-6.2416,-1.9961
-8.0186,1.1421,-6.0032,-1.1016,-5.941,-2.1687
-6.4379,0.8682,-4.2352,-0.8582,-6.3488,-1.5954
-8.1066,0.4508,-6.1593,-1.0653,-5.4818,-2.7744
-5.7907,1.0706,-5.9659,-0.5115,-6.5333,-2.3508
-9.3232,0.7826,-7.3206,-1.3024,-6.9263,-2.0321
-6.1234,1.3702,-4.17,-0.6004,-8.2884,-1.398
-6.6906,0.939,-5.4551,-0.9028,-6.3596,-2.7516
-5.4427,1.082,-6.5664,-1.1164,-6.9527,-3.1449
-8.0122,0.5762,-6.563,-0.7523,-6.7425,-2.1486
-6.6436,0.7075,-6.9392,-1.0285,-6.4521,-3.1126
-6.993,1.4259,-5.9468,-0.4742,-6.9744,-1.5708
-5.3765,1.1842,-5.742,-1.3704,-6.2538,-3.1555
-6.1774,0.6377,-6.8746,-1.5238,-5.3183,-2.7284
-10.4049,1.0366,-7.0406,-0.3409,-6.8244,-2.3511
-5.8876,1.0816,-4.8835,-0.4913,-5.8329,-1.3049
-8.1314,1.1693,-6.241,-0.1436,-7.3426,-0.6987
-6.4697,1.2476,-6.6784,-0.0788,-7.0305,-1.231
-6.5654,1.3417,-4.5167,-0.6202,-6.6132,-1.8131
-8.1755,0.502,-5.3501,-1.6972,-5.6599,-3.0309
-8.4113,0.5138,-7.0058,-0.8148,-6.2507,-3.863
-8.464,0.7805,-8.2949,-0.962,-6.9442,-3.4148
-8.5807,1.2195,-7.4323,-0.3265,-6.6033,-1.3206
-5.8047,0.7773,-4.7682,-0.511,-5.6965,-1.5817
-5.132,0.424,-6.3445,-1.3368,-7.3171,-2.0483
-6.929,1.4187,-5.81,-0.793,-7.7655,-1.8574
-9.3361,1.1664,-5.3154,-0.3863,-5.1489,-1.3769
-6.4689,1.2443,-5.4501,-0.4291,-6.4318,-2.0394
-6.2478,0.6921,-6.8355,-1.3447,-7.0794,-2.3574
-5.6994,0.712,-7.0656,-1.0518,-6.6687,-2.1309
-11.1498,1.1756,-4.6767,-1.0973,-8.1669,-2.0759
-8.3747,1.316,-6.0443,-0.6199,-6.5167,-2.3087
-6.0783,1.2052,-5.3168,-0.5167,-5.8914,-1.0925
-10.0859,1.6257,-5.6795,-0.8471,-7.6729,-2.2892
-8.1674,1.5955,-4.8678,-0.4829,-6.7351,-1.2313
-6.5881,1.2736,-7.4226,-0.4964,-6.8288,-0.7037
-8.4605,0.9198,-6.2521,-1.2432,-6.5672,-2.893
-8.2163,0.709,-5.6694,-1.0723,-6.4252,-2.7074
-6.4366,0.2458,-5.4581,-1.2742,-7.6602,-3.8651
-5.0936,1.488,-6.473,0.0913,-5.4598,-1.0996
-6.9404,0.8755,-6.8628,-0.6349,-5.8272,-2.9128
-8.5699,0.7422,-4.5197,-0.8864,-8.9502,-2.1227
-7.0181,0.4995,-5.5961,-1.6815,-6.4995,-2.4539
-4.8967,1.3993,-4.8461,-0.7257,-5.7782,-1.384
-6.7435,-0.6073,-8.1727,-1.8953,-7.3158,-4.1856
-6.887,0.5355,-8.0512,-1.7503,-6.0375,-2.1749
-4.7574,0.4235,-6.0102,-0.94,-5.6986,-2.3561
-6.3969,0.365,-6.6589,-1.0232,-6.6809,-3.2166
-8.1304,1.1742,-4.5426,0.0682,-6.0768,-0.9506
-6.4601,0.5228,-7.4837,-1.2966,-5.4912,-3.309
-8.6549,0.8001,-5.393,-1.2884,-9.5657,-2.2114
-6.0268,0.4983,-4.7423,-1.2978,-6.6008,-2.2565
-7.7122,-0.055,-4.8315,-1.2982,-5.6612,-3.0922
-8.3211,0.9967,-5.9525,-1.0093,-6.2414,-1.4413
-4.8501,1.4259,-7.5127,-0.2618,-5.6348,-2.2245
-6.5632,0.8036,-5.9547,-0.1803,-6.8627,-1.1503
-7.7029,0.8338,-5.5711,-0.9318,-8.6031,-2.2301
-5.953,0.2137,-5.4075,-2,-5.4087,-3.9614
-8.1226,1.1977,-5.9179,-1.2732,-7.0741,-2.4137
-7.7442,0.5681,-5.4564,-1.5637,-6.6852,-2.9759
-7.0223,1.0588,-4.7499,-0.7586,-6.9489,-1.1452
-8.8436,1.2814,-4.9871,-0.5728,-6.9287,-0.8677
-8.1833,0.2581,-7.8079,-1.6635,-6.3296,-3.0539
-5.8319,0.8426,-5.0329,-0.7074,-7.8618,-1.2949
-8.1305,0.334,-5.968,-1.5902,-6.1095,-4.438
-6.5258,1.5533,-7.3409,-0.6095,-8.2132,-1.6141
-6.3311,1.4223,-7.8915,-0.4489,-5.257,-0.9689
-7.2213,1.3619,-4.6554,-0.7213,-6.6455,-1.9513
-7.725,1.3816,-5.5177,-0.4786,-6.3925,-2.0075
-6.1124,0.8225,-5.2011,-0.1306,-6.6772,-1.2166
-6.3858,0.7517,-7.5311,-0.7471,-7.2021,-3.4816
-9.0255,0.9586,-5.0462,-1.0661,-5.929,-1.7682
-9.1604,0.4779,-7.9975,-0.9421,-6.5702,-2.7524
-8.399,0.8507,-6.6116,-0.9496,-6.4258,-1.8733
-8.9105,0.6266,-6.3198,-1.2136,-5.5512,-2.7494
-6.4834,0.8157,-6.0998,-1.3559,-6.3204,-3.4871
-6.568,0.8378,-5.5496,-0.6376,-5.6413,-1.657
-6.2313,0.9676,-5.4508,-0.6312,-6.181,-1.1304
-7.4389,0.4343,-5.517,-1.1576,-6.8615,-2.7592
-5.2933,0.916,-6.5514,-0.8028,-5.4707,-1.7466
-6.064,1.0002,-6.7261,-0.6927,-7.474,-1.2562
-5.0169,1.9194,-3.8813,-0.8891,-5.5853,-1.1459
-5.0675,0.7479,-7.0076,-0.8465,-6.2009,-2.7419
-6.1436,0.8517,-8.1422,-0.7816,-6.0333,-1.9979
-8.4659,0.5522,-7.442,-1.0243,-5.6449,-2.4612
-5.8234,0.9647,-5.741,-0.7673,-5.5845,-1.4642
-7.3025,0.5935,-5.897,-1.2654,-13.0702,-2.2468
-10.5298,0.7573,-5.3683,-0.7043,-5.4066,-2.5726
-7.7525,1.0598,-6.1272,-1.3248,-5.8718,-2.179
-8.0749,1.1904,-4.7651,-0.6703,-5.6902,-2.3281
-6.1739,1.1441,-5.062,-0.3902,-6.4484,-1.529
-5.4868,0.4254,-6.1419,-0.7988,-7.4836,-2.5144
-8.5124,0.4946,-6.2231,-0.4787,-6.2057,-2.2077
-5.5523,0.7288,-5.8324,-0.4422,-5.6815,-2.8938
-5.9736,1.3197,-6.1326,-0.1186,-5.9743,-1.9651
-8.0501,0.4129,-4.9988,-0.7977,-6.8954,-1.5548
-7.4475,1.5789,-4.6876,-0.6203,-6.7002,-1.8265
-6.0719,1.6924,-5.3214,-0.3001,-6.8855,-1.9638
-7.5254,1.7956,-4.2626,-0.2643,-6.3799,-1.1159
-8.2731,0.4055,-6.1682,-1.5045,-5.9132,-4.1927
-7.388,0.9441,-6.4474,-0.9371,-5.1767,-2.5336
-9.2697,0.3068,-5.4942,-1.4534,-6.0523,-3.1158
-7.3356,1.137,-4.2603,-0.7753,-6.0965,-1.5095
-5.535,0.9415,-4.8113,-0.4932,-6.6327,-1.7075
-9.653,1.6391,-5.4629,-0.52,-7.329,-2.0509
-6.8767,1.2643,-4.366,-0.5031,-7.8563,-3.1344
-7.7733,1.1376,-5.2248,0.0434,-6.375,0.1811
-9.3624,1.039,-6.5967,-0.2505,-9.0369,-2.0293
-8.31,0.8054,-4.2466,-0.8908,-7.5498,-1.467
-4.363,1.8739,-4.0934,-0.1135,-7.6219,-1.1958
-6.1875,0.3784,-6.4718,-0.5567,-6.6461,-2.3893
-7.8212,0.8648,-6.5841,-1.5807,-6.7552,-2.7194
-4.2611,1.5786,-5.6083,-0.5192,-5.8389,-2.3475
-6.6616,0.9543,-7.1875,-0.5748,-5.2175,-1.679
-7.8609,1.52,-5.1825,-0.3804,-7.6723,-1.333
-5.0582,0.7189,-4.6189,-1.8673,-5.381,-2.9292
-8.2254,1.2334,-5.9504,-0.3369,-8.9399,-1.1171
-6.4073,1.6166,-5.2624,-0.346,-5.4629,-1.1576
-7.247,1.6816,-3.8304,-0.0672,-6.9026,-1.2055
-6.7004,0.4121,-5.3655,-1.4283,-5.2956,-3.2519
-5.6653,0.358,-6.531,-1.0246,-7.9383,-1.8929
-9.4366,0.9446,-5.8545,-0.9694,-5.5579,-1.5321
-4.9268,1.4648,-5.5717,-0.2166,-6.1022,-2.0701
-5.6552,1.0095,-6.3253,-0.5226,-5.4126,-1.7333
-6.8645,1.0523,-5.1366,-0.8039,-6.4172,-1.5669
-11.0051,1.4743,-7.8073,-0.7094,-8.7203,-1.6057
-6.4548,0.9486,-4.0518,-1.2906,-6.0569,-1.1727
-6.1382,1.5848,-4.8295,-0.3584,-5.9331,-1.0461
-8.4772,1.0904,-5.0868,-0.548,-5.3784,-1.1665
-8.2645,0.689,-5.553,-1.7096,-7.2374,-2.4383
-5.9787,1.1953,-5.9462,-0.4985,-7.8925,-2.1151
-8.1762,0.316,-5.2245,-1.142,-8.7734,-2.7551
-5.3357,1.2861,-4.3594,-0.7424,-7.6992,-1.4414
-5.9155,0.4962,-6.7203,-1.3147,-6.4749,-2.869
-6.4551,0.8812,-6.4704,-0.9384,-6.4728,-2.6523
-7.6866,0.5624,-5.4576,-1.2663,-6.4951,-2.1078
-6.2917,1.5408,-6.9659,-0.2468,-8.9343,-1.0838
-10.5064,1.3494,-6.6376,-0.5764,-5.5297,-1.0067
-5.0308,0.6935,-6.4059,-0.4702,-5.5352,-1.353
-7.0822,1.0241,-5.5217,-1.0724,-6.3938,-2.3432
-5.3266,0.7051,-6.0214,-0.8053,-7.8263,-2.2548
-8.6439,0.9542,-5.905,-1.1019,-5.317,-2.5006
-6.9793,1.1684,-5.8822,-0.2528,-5.9744,-2.228
-9.6359,0.4725,-4.5216,-0.9731,-5.6786,-2.8289
-6.1637,0.7275,-6.9897,-0.3017,-7.3582,-1.0119
-5.9311,-0.047,-5.5835,-1.3233,-6.4569,-3.1153
-4.3754,0.9313,-4.7386,-0.5658,-6.6251,-1.3062
-7.6945,1.0036,-5.8342,-0.6439,-6.3521,-1.8798
-5.1674,0.7158,-6.0898,-0.1436,-6.4528,-1.43
-7.4842,1.5361,-8.1738,-0.114,-6.3898,-0.5988
-6.2526,0.8051,-5.4707,-1.1437,-6.1404,-2.5105
-8.828,0.653,-4.7537,-1.4151,-6.5359,-2.3018
-8.7859,1.5185,-4.8711,-0.2331,-6.1343,-1.356
-8.4821,1.5918,-4.8668,-1.0093,-7.3519,-0.882
-7.9998,0.6871,-6.8751,-0.6546,-7.9054,-1.3256
-8.549,0.5097,-5.9788,-1.1042,-6.4298,-2.6362
-8.1401,0.2147,-5.8891,-1.419,-6.752,-4.817
-5.8958,1.5579,-5.1001,-0.3744,-6.4688,-0.6564
-6.2685,1.4645,-6.5002,-0.3582,-6.3845,-1.4641
-7.0227,0.4206,-5.1213,-1.6749,-6.6456,-3.2794
-7.484,1.4789,-5.5573,-0.1827,-6.4084,-1.113
-7.0491,0.9414,-8.4862,-0.0438,-5.4477,-1.1792
-9.0185,0.8547,-5.654,-0.535,-5.6045,-1.9944
-7.9816,0.835,-7.134,-1.1596,-7.8904,-3.0142
-7.2931,0.584,-5.8683,-0.967,-6.9805,-2.9846
-7.134,1.1179,-5.9167,-0.3795,-9.0027,-1.661
-9.7353,0.8767,-5.0017,-1.0074,-10.0219,-3.8073
-6.2913,1.2048,-5.086,-0.7792,-6.0652,-1.8298
-5.8328,0.2711,-5.7396,-1.2694,-8.4855,-2.6694
-7.1992,0.7306,-4.4921,-0.7246,-6.0468,-2.0168
-7.5584,0.9062,-7.5232,-0.727,-8.8476,-1.9647
-10.7548,1.0072,-8.2957,-0.1668,-7.3981,-1.3744
-7.6844,1.0597,-7.4327,-1.0229,-10,-3.0653
-6.5818,0.8238,-5.024,-0.9873,-5.914,-1.5123
-7.7461,1.0482,-5.7187,-0.8862,-5.456,-2.2156
-5.3262,1.1909,-6.5724,-0.7357,-7.368,-1.2546
-7.56,0.7031,-4.8504,-0.6257,-6.2674,-1.9536
-6.9894,0.7412,-4.6421,-1.2323,-7.4653,-2.1253
-10.4101,1.3035,-4.4414,-0.6241,-7.8353,-1.0564
-6.9643,0.7694,-7.0448,-0.9562,-6.1676,-1.9787
-5.5734,0.7657,-7.4601,-1.1028,-6.4787,-1.9545
-9.0808,1.5552,-4.1672,-0.5072,-6.0105,-1.8859
-7.4602,1.4065,-4.5171,-1.2744,-5.5382,-1.3608
-7.1879,1.0792,-5.6081,-0.7714,-7.4722,-1.4086
-8.0095,1.0588,-4.7903,-0.6797,-7.3932,-1.3675
-6.9614,0.4938,-6.7153,-0.9058,-7.469,-2.2344
-6.2457,0.7983,-4.8807,-0.4859,-6.3104,-2.014
-8.6056,1.4294,-4.941,-0.4771,-6.3196,-1.6559
-7.2036,1.2275,-5.7017,-1.1056,-6.5393,-2.2693
-5.8362,0.8533,-5.1936,-1.6354,-8.0985,-1.2998
-8.6034,1.8019,-6.1628,-0.249,-6.8015,-1.2024
-9.0968,0.9336,-6.8103,-0.6803,-5.8458,-2.4399
-11.5976,2.0698,-5.2166,0.1767,-7.8338,-0.6533
-5.5519,1.357,-6.1233,-0.7622,-6.676,-2.2824
-4.6773,1.0274,-7.217,-0.1436,-6.4183,-0.939
-8.8841,1.6455,-4.2909,-0.2612,-6.1713,-1.5691
-7.0195,1.7707,-5.865,0.0149,-6.9789,-1.073
-6.5999,1.5367,-5.07,-0.5507,-6.3569,-0.7761
-6.8945,1.1384,-5.9565,-0.2232,-5.9277,-0.951
-4.063,1.1743,-6.0498,0.0881,-6.5319,-0.727
-7.3825,0.8435,-6.3668,-0.637,-5.1136,-2.324
-7.9649,1.4957,-7.4056,-0.5282,-6.5938,-1.3065
-8.2086,1.5078,-4.8542,-0.2924,-6.4186,-1.7732
-6.0454,0.6438,-5.3016,-0.6216,-7.5209,-2.5295
-10.7474,1.138,-4.5899,-0.9639,-5.6353,-1.872
-9.4223,1.446,-5.6695,-0.5083,-6.9504,-2.3614
-6.8656,1.079,-6.4248,-0.6099,-5.9886,-2.1798
-8.4121,1.6863,-5.0028,-0.3286,-6.4992,-1.503
-5.5051,1.2262,-5.5516,0.1058,-7.0768,-2.2871
-9.2177,1.0272,-4.6457,-1.0847,-5.9418,-2.1051
-8.8029,0.6732,-4.9019,-1.8592,-6.6261,-2.8725
-6.8104,0.1791,-6.4166,-1.3366,-6.2686,-3.907
-6.4142,0.9317,-5.511,-1.3319,-6.4957,-4.8489
-6.9804,0.6847,-5.6949,-1.0613,-7.4829,-2.5096
-6.8751,1.2031,-5.3968,-0.2461,-7.0914,-0.8172
-5.8204,0.9697,-5.1717,-1.1417,-6.4847,-2.1259
-5.066,0.6598,-5.9802,-0.3684,-5.9159,-1.7448
-8.9534,0.4038,-7.3297,-1.6354,-7.2008,-2.5366
-7.0414,1.7097,-5.2521,-0.5197,-5.333,-0.6886
-7.3227,0.5606,-6.7029,-0.7846,-7.0354,-3.1706
-7.557,1.3152,-5.1497,-0.6946,-6.3502,-1.8435
-6.8929,0.3361,-5.7237,-1.0032,-5.4502,-2.0256
-7.1215,0.3833,-4.1148,-1.1128,-9.7183,-2.6805
-8.0258,0.8157,-5.7448,-0.4352,-8.7484,-1.7467
-7.8622,1.6212,-4.2435,-0.5204,-6.1169,-1.3381
-6.8872,0.2121,-4.4549,-1.4116,-6.0977,-2.6051
-8.5658,1.2897,-5.7579,-0.661,-5.9755,-1.2599
-7.9591,1.3241,-6.1133,-1.2738,-5.7607,-2.0227
-6.7942,0.3537,-4.8428,-1.1517,-4.9238,-2.5952
-6.5395,0.5352,-6.5112,-0.6332,-5.963,-1.9775
-8.5698,0.5056,-5.3247,-1.0992,-6.2087,-1.8487
-7.5422,1.316,-6.6985,-0.6143,-7.4363,-1.5252
-8.5042,0.9855,-6.8353,-0.5116,-6.6434,-0.7028
-6.5922,1.1031,-4.6141,-0.6301,-6.9306,-0.7949
-5.3475,0.9659,-7.6644,-0.47,-6.674,-1.4277
-5.5647,1.2063,-4.9407,-0.8882,-8.3835,-2.0496
-12.9632,0.1342,-5.9642,-1.9549,-5.8324,-2.8797
-7.4239,1.0536,-6.7881,-0.5328,-5.4997,-2.2406
-7.5998,1.2372,-5.8921,-0.6966,-5.966,-2.1319
-6.2879,0.9895,-5.8686,-0.7633,-6.5431,-1.5541
-9.6902,1.3568,-5.9112,-0.1233,-7.9681,-0.3538
-5.4851,0.9019,-5.4126,-0.8123,-8.0063,-3.4035
-9.1038,1.2513,-5.1527,-0.5699,-6.6783,-2.2687
-11.0784,0.3161,-5.7788,-1.4775,-6.1452,-2.3295
-7.5252,0.6271,-4.265,-1.7428,-5.5379,-2.0516
-8.9453,0.9637,-4.9271,-0.7502,-6.8889,-2.4925
-6.947,1.5497,-4.6853,-0.2514,-5.4288,-1.3492
-9.298,1.4176,-6.0816,-0.7822,-5.8598,-1.1145
-6.8351,0.2957,-5.577,-1.1495,-6.0984,-2.9276
-6.3658,1.1655,-6.7397,-0.4355,-7.6281,-2.8932
-7.1819,0.8716,-8.1916,-1.1058,-6.7768,-1.8842
-6.3855,0.7581,-5.0577,-1.5258,-8.8535,-1.6058
-6.3625,1.1596,-5.3476,-0.4579,-7.8807,-1.2633
-6.3402,1.3051,-5.1496,-0.3265,-6.6937,-0.6517
-5.9695,2.3758,-4.8107,-0.5719,-6.6367,-1.6273
-6.6271,1.202,-6.9355,-0.3248,-5.532,-1.2924
-8.5416,0.93,-5.9038,-0.4536,-6.6715,-1.4938
-8.3081,1.2912,-8.198,-0.3374,-5.6172,-1.6621
-8.358,0.6922,-6.1724,-1.1019,-8.9105,-3.1704
-5.1641,1.5135,-7.6467,-0.5223,-5.8899,-2.8951
-8.6445,0.7084,-5.4576,-0.65,-5.33,-2.2166
-5.5402,0.5815,-5.4843,-0.7902,-6.2261,-1.5728
-5.8584,1.399,-5.9784,-0.3726,-5.809,-1.1364
-5.137,1.1203,-6.4293,-0.5249,-5.9123,-1.4354
-8.0841,-0.0067,-5.3353,-1.2548,-5.5008,-3.0408
-5.3762,1.21,-4.2025,-0.782,-7.518,-4.0673
-7.365,1.471,-4.7348,-0.4262,-5.5904,-1.2867
-6.9208,0.8114,-6.9309,-0.6907,-6.175,-2.8999
-7.6113,0.8573,-4.6795,-0.8729,-6.374,-1.1401
-7.297,1.4804,-6.0913,-0.5354,-5.1307,-1.6732
-6.8338,0.2455,-6.9205,-1.2378,-5.0354,-2.715
-7.3394,0.2513,-6.8177,-2.2093,-6.2371,-3.3016
-8.7188,-0.0802,-5.1726,-2.0385,-7.3189,-2.6213
-7.6309,0.6258,-4.0528,-2.5694,-6.9322,-2.8834
-6.7563,0.9439,-4.3534,-1.2216,-7.195,-1.8019
-9.521,1.755,-6.5833,-0.3214,-6.587,-1.8521
-7.2865,0.7713,-4.9698,-1.0416,-7.0919,-1.8456
-9.3052,0.5209,-8.0918,-0.5926,-7.8104,-3.3854
-7.8496,0.8916,-5.32,-0.2434,-6.8314,-1.474
-9.2093,0.3139,-7.2226,-0.951,-8.2695,-3.5094
-5.6374,0.9424,-6.1201,-1.3136,-5.7598,-2.0667
-7.3046,1.4405,-4.9228,-0.237,-8.0667,-0.4574
-7.9953,0.5885,-7.6958,-0.6849,-5.4104,-2.85
-7.1611,1.1598,-6.2732,-0.2198,-7.1339,-1.5308
-8.9265,0.9894,-3.9712,-0.8578,-6.7772,-2.1587
-7.568,1.262,-5.8693,-0.2179,-5.9028,-1.7758
-6.2343,1.021,-7.8571,-1.2085,-5.4883,-2.7103
-5.8447,0.8363,-5.898,-1.0738,-6.1866,-1.4726
-6.0659,1.2948,-5.0668,-1.1132,-5.4486,-2.1461
-11.967,0.8295,-5.4494,-0.4335,-6.3273,-3.6782
-8.523,-0.0508,-6.0342,-1.5899,-6.4362,-2.9839
-10.2579,0.957,-6.5045,-0.0873,-6.4283,-1.8347
