"z_Smear[1]","z_Smear[2]","z_Mgit[1]","z_Mgit[2]","z_Xpert[1]","z_Xpert[2]"
-5.5126,0.6144,-6.2433,-0.5732,-5.6406,-1.9385
-7.5339,1.4513,-7.524,-0.4872,-7.2024,-1.3917
-7.4077,1.4085,-7.0115,-1e-04,-9.9787,-1.8956
-7.4688,1.1794,-4.7555,-0.6695,-7.289,-2.2018
-8.4018,1.3329,-5.6482,-0.7271,-7.7526,-2.1947
-6.501,0.6989,-4.5488,-1.4368,-6.1398,-2.5211
-5.1476,0.9074,-6.2801,-1.4972,-6.3882,-2.7714
-8.5635,0.6022,-4.6982,-1.5648,-6.7611,-3.0507
-6.2932,1.6341,-4.9002,-0.0527,-7.3644,-0.6435
-6.779,0.8077,-4.3476,-1.0709,-6.3863,-2.4109
-6.5693,0.5502,-5.8868,-0.9743,-5.8736,-3.341
-7.12,0.8602,-6.3155,-1.144,-8.3254,-3.0958
-7.4993,1.3313,-6.6947,-0.4293,-6.9474,-1.2944
-5.1758,0.5374,-7.919,-1.0621,-6.7774,-2.5808
-7.3152,0.8147,-6.7455,-0.5462,-6.3416,-2.3626
-6.5427,0.5817,-6.0885,-1.0139,-5.6448,-1.7009
-7.5026,1.0048,-4.9331,-1.4134,-5.8108,-2.9743
-7.293,0.7455,-7.3909,-0.9741,-5.7876,-2.4052
-7.5006,1.6325,-4.6836,-0.6469,-5.7266,-1.0678
-6.4287,1.3748,-6.9196,-0.3978,-6.3475,-1.7993
-8.8159,0.9136,-5.5674,-0.6992,-9.1476,-1.4039
-5.8902,1.01,-4.9966,-0.3148,-5.4231,-1.1348
-6.8951,0.6404,-4.9758,-0.5028,-6.7546,-2.1435
-8.3093,1.7719,-4.8623,-0.3562,-8.3927,-0.5696
-4.9691,0.9247,-5.7376,-0.3322,-6.7858,-1.9208
-7.35,0.8665,-6.555,-0.8425,-8.59,-1.7863
-7.0851,1.2838,-5.9496,-1.0717,-6.6405,-1.3276
-5.7499,0.9176,-5.2889,-0.8417,-4.6429,-3.293
-7.1895,0.054,-7.8204,-1.1067,-6.3846,-2.5279
-6.8108,1.1917,-5.5549,-0.6998,-6.2919,-1.4358
-8.7143,0.1066,-6.1742,-1.0959,-5.9984,-3.6367
-7.6781,0.7765,-6.3853,-0.7738,-7.3089,-1.5702
-9.9117,0.8546,-5.8856,-0.7842,-6.9497,-1.5702
-7.5892,1.6291,-4.6662,-0.6572,-5.6989,-1.3094
-12.8069,1.7466,-5.9638,-0.021,-5.4526,-1.0264
-7.6337,0.778,-5.4993,-0.8094,-4.8299,-2.3808
-5.6704,0.627,-5.6319,-0.9479,-7.4028,-2.9571
-8.6694,1.2801,-5.6927,-0.9638,-6.7175,-2.6018
-5.9874,0.405,-5.0158,-1.249,-6.0552,-1.7529
-7.1382,1.3972,-6.2148,-0.5393,-5.6646,-0.8552
-6.3287,0.6561,-5.6534,-1.3205,-7.1819,-2.6728
-6.5067,0.4757,-6.659,-1.1594,-7.4633,-1.6882
-7.7376,1.0403,-5.9036,-0.8698,-7.3305,-1.664
-8.9916,1.3047,-9.1637,-0.5077,-7.0092,-2.9521
-8.7595,0.2778,-6.2755,-0.8487,-5.7529,-2.3188
-6.5033,0.6139,-7.6545,-0.5833,-5.5021,-3.2777
-5.1426,1.1349,-4.433,-0.7381,-5.9467,-1.2137
-6.5191,1.2768,-4.7494,-1.4111,-8.1696,-2.1553
-5.8135,1.2538,-4.7864,-0.3515,-7.6006,-2.2225
-5.6511,1.015,-7.3136,-0.5297,-6.429,-1.6733
-8.2496,1.7173,-6.6641,-0.1178,-7.1094,-0.9268
-11.8968,0.9792,-5.3882,-0.6603,-6.003,-1.9032
-5.8977,1.5676,-6.6229,-0.423,-5.6926,-0.8844
-7.4286,0.5332,-5.4739,-1.3196,-6.6485,-3.1233
-6.0581,0.4508,-5.3593,-1.3584,-6.559,-3.0866
-6.84,1.1207,-5.9368,-0.7005,-6.6232,-0.9616
-8.595,1.0195,-5.2744,-0.0892,-8.5828,-1.3298
-10.473,0.5412,-5.5272,-1.0354,-5.6978,-2.2794
-8.9264,0.6924,-6.4203,-1.068,-6.1844,-2.5742
-9.0566,0.6799,-5.0006,-0.9353,-6.0446,-2.2975
-4.8345,0.5054,-5.0102,-1.506,-6.4757,-2.8
-7.5675,1.4847,-5.0705,-0.2037,-6.6112,-1.0749
-6.7861,0.577,-5.6521,-1.7318,-7.3388,-3.0718
-7.4117,1.9507,-6.0807,0.1412,-7.3733,-0.1818
-6.3101,0.4591,-4.7747,-0.6212,-6.7783,-1.9544
-5.3227,0.5366,-5.0144,-1.093,-7.1349,-2.0835
-6.9078,0.2155,-6.5118,-1.4533,-6.0086,-3.4966
-6.9628,1.8156,-6.0608,-0.3531,-5.5303,-1.7456
-8.8503,0.7455,-6.4761,-0.9957,-5.0437,-1.7554
-7.2476,1.0663,-5.4529,-1.1882,-6.8016,-1.5989
-10.0523,0.9809,-5.3977,-1.003,-4.656,-3.2639
-6.5459,0.2284,-6.6422,-1.4555,-4.9196,-1.6562
-5.1729,1.8624,-3.6103,-0.7477,-5.6902,-1.8312
-6.4519,1.1333,-4.7181,-0.2012,-5.7589,-1.0331
-6.7883,0.6552,-8.0492,-1.2136,-6.6723,-3.2197
-4.562,0.8313,-5.5215,-0.9188,-6.2847,-1.5901
-6.3615,1.0697,-5.3764,-0.9351,-6.5113,-1.7279
-9.0693,0.282,-6.3065,-1.1831,-6.5517,-2.5265
-9.1167,0.3612,-4.5123,-1.2621,-5.3181,-2.2679
-6.0561,0.8481,-7.4413,-1.0137,-6.2808,-3.1155
-9.0226,0.4381,-6.0091,-1.6898,-6.1743,-2.8627
-5.9342,0.4834,-4.7582,-1.4531,-6.7989,-2.2704
-6.6763,0.7984,-5.5495,-0.7488,-6.8655,-1.7215
-5.2622,0.5009,-4.8244,-1.2731,-5.4234,-3.6548
